Month,NTV,ING,STR,SNP,TIK,BAN,TWT,RAD,AFF,CEM,SEM
Oct,344178.321,240703.8972,174312.123,41985.43368,37412.41373,37290.58207,34665.59793,16063.79981,7088.599917,1068.601833,97808.47386
Nov,344178.321,240703.8972,174312.123,41985.43368,37412.41373,37290.58207,34665.59793,16063.79981,7088.599917,1068.601833,97808.47386
Dec,344178.321,240703.8972,174312.123,41985.43368,37412.41373,37290.58207,34665.59793,16063.79981,7088.599917,1068.601833,97808.47386
Jan,344178.321,240703.8972,174312.123,41985.43368,37412.41373,37290.58207,34665.59793,16063.79981,7088.599917,1068.601833,97808.47386
Feb,344178.321,240703.8972,174312.123,41985.43368,37412.41373,37290.58207,34665.59793,16063.79981,7088.599917,1068.601833,97808.47386
Mar,344178.321,240703.8972,174312.123,41985.43368,37412.41373,37290.58207,34665.59793,16063.79981,7088.599917,1068.601833,97808.47386
Apr,344178.321,240703.8972,174312.123,41985.43368,37412.41373,37290.58207,34665.59793,16063.79981,7088.599917,1068.601833,97808.47386
May,344178.321,240703.8972,174312.123,41985.43368,37412.41373,37290.58207,34665.59793,16063.79981,7088.599917,1068.601833,97808.47386
Jun,344178.321,240703.8972,174312.123,41985.43368,37412.41373,37290.58207,34665.59793,16063.79981,7088.599917,1068.601833,97808.47386
Jul,344178.321,240703.8972,174312.123,41985.43368,37412.41373,37290.58207,34665.59793,16063.79981,7088.599917,1068.601833,97808.47386
Aug,344178.321,240703.8972,174312.123,41985.43368,37412.41373,37290.58207,34665.59793,16063.79981,7088.599917,1068.601833,97808.47386
Sep,344178.321,240703.8972,174312.123,41985.43368,37412.41373,37290.58207,34665.59793,16063.79981,7088.599917,1068.601833,97808.47386
