NTV,TTV,CTVP,CTVNP,DD,STRP,STRNP,YOT,CIN,DISP,DISNP,SEM,PAID_SOCIAL,DCI,DRD
0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034
0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028
0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025
0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023
0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019
0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017
0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
0.0011,0.0011,0,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.0009,0.0009,0,0.0009,0.0009,0.0009,0.0009,0,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0
0.0008,0.0008,0,0.0008,0.0008,0.0008,0.0008,0,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0
0.0008,0.0008,0,0.0008,0,0.0008,0.0008,0,0.0008,0,0.0008,0.0008,0.0008,0.0008,0
0.0007,0.0007,0,0.0007,0,0.0007,0.0007,0,0.0007,0,0.0007,0.0007,0.0007,0.0007,0
0.0006,0.0006,0,0.0006,0,0.0006,0.0006,0,0.0006,0,0.0006,0.0006,0.0006,0.0006,0
0.0006,0.0006,0,0.0006,0,0.0006,0.0006,0,0.0006,0,0.0006,0.0006,0.0006,0.0006,0
0.0005,0.0005,0,0.0005,0,0.0005,0.0005,0,0.0005,0,0.0005,0.0005,0.0005,0.0005,0
